text,perspective_score,flair_score,textblob_score,vader_score,detoxify_original_score,detoxify_unbiased_score,detoxify_multilingual_score,has_swearing
"text, i moved to tarboro in nineteen",0.039254878,0.9277494866120846,0.4444444444444445,0.0,0.000870420015417,0.0009901205776259,0.0004572516481857,False
hm,0.024662184,0.1592438355439079,0.4444444444444445,0.0,0.0022093767765909,0.0006434641545638,0.0005305237136781,False
"i been over here fifteen years, so it was in nineteen ninety, i moved over here",0.046122026,0.0343162727139979,0.4444444444444445,0.0,0.0006192508153617,0.0004478244227357,0.0003297463117633,False
"mmhm, no, i didn't lose anything",0.03461955,0.2273424670798812,0.4444444444444445,0.0,0.0020122067071497,0.0004478310293052,0.0007543535321019,False
my family,0.0142302895,0.0006263925839124,0.4444444444444445,0.0,0.001900902017951,0.0005056327208876,0.0003416140680201,False
everybody in my family lost everything they had but me,0.039598234,0.8407429574733366,0.4444444444444445,0.155,0.0056097730994224,0.0006817988469265,0.000916599703487,False
"i was over here in tarboro and i had a brother in rocky mount, but he also lost everything",0.10828095,0.1208567414432316,0.4444444444444445,0.141,0.0012491804081946,0.00064434541855,0.0004569777520373,False
"mmhm, in rocky mount, he was flooded",0.08689302,0.9989783221240932,0.4444444444444445,0.0,0.0006921599851921,0.0006773963104933,0.0015113651752471,False
"um, but my main concern was my mom was handicapped",0.20596254,0.9675227772752368,0.3518518518518519,0.0,0.0494357347488403,0.0350478701293468,0.0047192112542688,False
"she had a stroke back in eighty five, and i didn't want her to have to go to the shelter, and and i knew she couldn't get up and down off the floor and off the carts and stuff they had for the older people, so that was my main concern about the flood and everybody, when i found everybody was safe, you know, i was happy, and so i, i tried as much as possible to accommodate everybody that was in the flood knew i couldn't, but my heart wanted to be there, so i had forty one people for about nine months, so l",0.1464265,0.2122328738674714,0.3271604938271605,0.048,0.0009737900691106,0.0004343991458881,0.0008441954269073,False
it was a,0.020130653,0.8970680856034289,0.4444444444444445,0.0,0.0033987129572778,0.0008713424322195,0.0016983301611617,False
"it was a big strain for me, but i asked god for one thing that they keep my joy",0.06612156,0.990213745028674,0.2222222222222222,0.044,0.0006943332846276,0.000599798746407,0.0021245668176561,False
"i forgot through the myst, i didn't care about 'em tearing up anything, because i knew i always been a",0.089577995,0.942618969126725,0.4444444444444445,0.122,0.0024186889640986,0.0014958468964323,0.0114787425845861,False
um,0.012811388,0.2298243065842145,0.4444444444444445,0.0,0.0011565451277419,0.0007473072619177,0.0008661823230795,False
"i say, i like stuff neat and in order, so i had to kind of humble myself and it wasn't all about me, so i said you know they, they're not here because they wanna be here",0.06532243,0.9713058772385016,0.3333333333333333,0.0,0.0008070732583291,0.0016846715006977,0.0006706403219141,False
"they don't have any other choice, so i was thankful that i was able to help 'em",0.019019997,0.0006738840591479,0.3402777777777778,0.0,0.0006932036485522,0.0014443726977333,0.000408190768212,False
"mmhm, okay, the average day was like, um, when the first the flood first came, it was depressing",0.089577995,0.9999130962647136,0.4166666666666666,0.118,0.0008874547784216,0.000614000367932,0.0017414668109267,False
"everybody was sad and sorrow, so my job was to make when we got a opportunity to do to go out",0.0825038,0.0051948161131867,0.7222222222222222,0.238,0.0012931709643453,0.0005977887194603,0.00089771655621,False
"um, i, i went to walmart and i bought a lot of stuff for everybody",0.037023053,0.2356660561641997,0.4444444444444445,0.0,0.0010140413651242,0.000617888988927,0.0011202445020899,False
"i bought pajamas for everybody, so they wouldn't have to get up",0.08170467,0.0004200893769887,0.4444444444444445,0.0,0.0009931849781423,0.0017574221128597,0.0005912999040447,False
bought um lot of female clothing,0.25447917,0.0123356200195439,0.4444444444444445,0.0,0.1241392567753791,0.0038410236593335,0.0116933351382613,False
i bought a lot of male clothing and stuff,0.1894391,0.8697355043824228,0.4444444444444445,0.0,0.0719603821635246,0.0022445567883551,0.0033077485859394,False
"mmhm, so um, it was like depressing",0.13700475,0.9999776405483826,0.7777777777777778,0.257,0.0041891066357493,0.0021568615920841,0.0065517984330654,False
so and then rev,0.021518974,0.9124840033029978,0.4444444444444445,0.0,0.0009247873094864,0.0006285533308982,0.0003087575605604,False
"mary's father was there, so he would pray with us and we'll s",0.04406188,0.0076994324455677,0.4444444444444445,0.0,0.0037196562625467,0.0013349442742764,0.0014496634248644,False
"the group was there, so we would get together and sing",0.042001735,0.000387981204466,0.4444444444444445,0.0,0.0006708308355882,0.0004991851747035,0.0014788375701755,False
"we'll play games and stuff, and the older people kind of s sat back, you know, but the average day was like we had a sister",0.10828095,0.0502687278145794,0.3587962962962963,0.0,0.0027068753261119,0.0019962186925113,0.0025572194717824,False
"my sister cooked for everybody, so she was designated to cook breakfast, lunch and dinner",0.05133759,0.0002525127402664,0.4444444444444445,0.0,0.0007771364180371,0.0010357038117945,0.001251925365068,False
so um the f,0.085282035,0.9981765420016931,0.4444444444444445,0.0,0.1409684866666793,0.0181239396333694,0.1376288831233978,False
"okay, four o'clock in the morning, those that went back to work had to get up at four in the morning",0.032731086,0.9790904842884308,0.3055555555555556,0.0,0.0012652127770707,0.0005090342019684,0.0004817782901227,False
"most of the older kids, the old, the the uh, adults was up the front and the kid was in the back, so the adults had to get up",0.05653196,0.8824967291103544,0.3379629629629629,0.0,0.0053882668726146,0.0010044454829767,0.0015058589633554,False
they have to be to work at eight o'clock,0.042001735,0.8851923249721506,0.4444444444444445,0.0,0.00495132105425,0.0009023885941132,0.0020182337611913,False
"they had to get up at four to go on and um get their breakfast and and get their clothing and stuff, and get out of the way for the crew",0.09763293,0.996374310576122,0.4444444444444445,0.0,0.0060124518349766,0.0008309966651722,0.0005998565466143,False
for six o'clock they had to go,0.03856816,0.8433812237011856,0.4444444444444445,0.0,0.0043707424774765,0.0007098990608938,0.0006724748527631,False
there was another crew that got up at six that had to be at work at eight,0.04543531,0.1912803981961944,0.4444444444444445,0.0,0.0010208874009549,0.0005078519461676,0.0004486077814362,False
"so um, then they got up at six and got prepared and they was out by seven thirty",0.0358213,0.9468385255855628,0.4444444444444445,0.0,0.0016150390729308,0.0003955948050133,0.0005194437108002,False
"so then the kids in the back, i had another bathroom",0.08689302,0.9618340259695192,0.4444444444444445,0.0,0.0044970368035137,0.0014218227006495,0.0095826052129268,False
"they would kind of take a shower, then slip on the pajamas or the house coat, and then go",0.19716066,0.9985947829973484,0.1111111111111111,0.0,0.0031380024738609,0.0159717816859483,0.0166366901248693,False
"i had a big walk in closet that we chose that closet to dress in, so so mmhm, mmhm, so after you take a shower, you come out of the bathroom and you go in the closet and dress and let somebody else go in",0.2298686,0.9997832921949236,0.4444444444444445,0.0,0.059523832052946,0.0033459251280874,0.0046521439217031,False
"that's how it was and my sister would get up and and cook, and and um cook, and most time we prepared clothes at night we had",0.19239926,0.0007010135271104,0.1666666666666666,0.0,0.0014853643951937,0.0015123477205634,0.005694642663002,False
"i had like three, three um ironing boards and three irons and stuff, and it was a lot",0.08796701,0.008921838571795,0.4444444444444445,0.0,0.0015584299108013,0.001077476888895,0.0005705973599106,False
"uhhuh, everybody had to come home",0.03839648,0.9625401374515984,0.4444444444444445,0.0,0.008437437005341,0.0008654361008666,0.0005567589541897,False
we had food ready,0.02193547,0.009996254940917,0.3333333333333333,0.0,0.0009479301515966,0.0006462355959229,0.000921523605939,False
"um, then they had they would race at night",0.055333257,0.0064463789643233,0.4444444444444445,0.0,0.0016065662493929,0.0011400426737964,0.0016242455458268,False
it wasn't really a a shift,0.03358948,0.999956235100034,0.3333333333333333,0.0,0.000903092615772,0.0004099993384443,0.0003228474524803,False
whoever got to the bathroom took a shower,0.079307266,0.9536867188017528,0.4444444444444445,0.0,0.1054185852408409,0.0124752586707472,0.0047315568663179,False
put your pajamas on and we took a nap and we had about um,0.38874862,0.8241540033167116,0.4444444444444445,0.0,0.0054645175114274,0.0061026099137961,0.0043093301355838,False
"back in the back, we had about fourteen twin mattresses that some of 'em slept on, and i slept on the floor for nine months, so i had given my bed up to reverend, to mary's dad, and mom and his sister slept in",0.16275369,0.0,0.4444444444444445,0.0,0.0044238287955522,0.0020853469613939,0.0015872591175138,False
we,0.015063282,0.0088881801439602,0.4444444444444445,0.0,0.001508034300059,0.0005214779521338,0.0004386704822536,False
w,0.022351967,0.1933778638209226,0.4444444444444445,0.0,0.0012372832279652,0.0044690929353237,0.0005613963585346,False
